TIME,Oy,Ox,Dy,Dx,Q,CITY
32535.0,118.111798,24.463033,117.675718,24.503281,1,0
32646.0,117.654556,24.508208,118.093918,24.476971,1,1
32669.0,118.103368,24.502766,117.651115,24.509791,1,0
32677.0,117.635019,24.508453,118.087616,24.450186,1,1
32695.0,117.717126,24.507406,118.088438,24.457548,1,1
32727.0,118.024009,24.585879,117.65361,24.501305,1,0
32741.0,118.143295,24.519345,117.677983,24.507422,1,0
32795.0,118.098146,24.468135,117.663534,24.519031,1,0
32816.0,117.717601,24.510142,118.128502,24.476178,1,1
32817.0,117.638362,24.513449,118.141425,24.480391,1,1
32832.0,118.159237,24.476356,117.724898,24.528571,1,0
32872.0,117.744827,24.506856,118.130307,24.422636,1,1
32884.0,118.093718,24.458364,117.66041,24.507547,1,0
32895.0,117.677888,24.51502,118.122317,24.439519,1,1
32963.0,117.663874,24.500347,118.195537,24.50039,1,1
32982.0,118.178316,24.489618,117.702579,24.506644,1,0
32998.0,117.750714,24.484923,118.173573,24.473067,1,1
33000.0,117.71641,24.495622,118.111364,24.475973,1,1
33058.0,117.652166,24.527025,118.03616,24.490758,1,1
33098.0,117.654193,24.505902,118.132814,24.488151,1,1
33115.0,117.682608,24.494727,118.159994,24.48229,1,1
33174.0,117.714698,24.50797,118.157613,24.492265,1,1
33310.0,117.655025,24.500397,118.182836,24.4997,1,1
33480.0,117.69477,24.510704,118.137385,24.494417,1,1
33508.0,117.684117,24.500369,118.053455,24.486106,1,1
33539.0,118.183463,24.476316,117.735,24.518961,1,0
33540.0,118.104964,24.506091,117.693292,24.509302,1,0
33568.0,118.150621,24.48764,117.706002,24.500972,1,0
33600.0,117.684289,24.495794,118.152735,24.541456,1,1
33600.0,117.662027,24.49871,118.130311,24.422636,1,1
33600.0,117.709595,24.51342,118.050813,24.561728,2,1
33600.0,117.673963,24.506418,118.152323,24.542164,1,1
33631.0,117.711732,24.507017,118.079274,24.451709,1,1
33734.0,118.10311,24.512747,117.665009,24.506455,1,0
33740.0,118.153311,24.489115,117.670362,24.495038,2,0
33863.0,117.680415,24.503194,118.181556,24.489649,1,1
33908.0,118.153546,24.489628,117.670362,24.495038,2,0
