,TIME,Oy,Ox,Dy,Dx,Q,CITY
660,34359.0,118.118788,24.493935,117.952967,25.016319,1,0
662,34424.0,118.088655,24.47545,118.17153,25.062055,1,0
664,34463.0,118.113386,24.576244,118.202412,25.067959,1,0
665,34473.0,118.168816,25.058173,118.1611,24.50197,3,1
667,34516.0,118.184582,25.054598,118.141632,24.526153,1,1
668,34616.0,118.179842,24.470889,118.202207,25.038912,2,0
669,34683.0,118.194537,25.05443,118.13734,24.491885,1,1
671,34731.0,118.13911,24.475784,118.176898,25.056899,1,0
674,34778.0,118.079273,24.457477,118.163966,25.069239,1,0
678,34800.0,118.242023,25.074433,118.142242,24.537209,2,1
677,34800.0,118.113386,24.576244,118.202412,25.067959,1,0
680,34800.0,118.079019,24.633511,118.202412,25.067959,1,0
681,34853.0,118.104451,25.018822,118.065966,24.569971,1,1
682,34905.0,118.16177,24.506161,118.118083,25.00935,1,0
683,34907.0,118.143199,24.525796,118.192664,25.040396,2,0
684,34937.0,118.058423,25.014142,118.107215,24.430453,1,1
688,35094.0,118.095249,24.967437,118.089538,24.440622,1,1
690,35096.0,118.128638,24.493397,118.097034,25.013576,1,0
691,35111.0,118.120034,24.469628,118.192482,25.039915,1,0
697,35232.0,118.17565,24.477121,118.160383,25.063417,1,0
696,35232.0,118.095154,25.16829,118.096197,24.442482,1,1
699,35253.0,118.111769,24.577556,118.188221,25.055794,1,0
701,35349.0,118.124751,24.478018,118.197352,25.0593,1,0
705,35400.0,118.221564,25.051984,118.072134,24.567257,1,1
703,35400.0,118.149084,24.490525,118.202489,25.030648,1,0
704,35400.0,118.199899,25.038938,118.118832,24.465045,2,1
708,35461.0,118.145462,24.494034,118.195618,25.0437,1,0
709,35583.0,118.091587,24.628619,118.204547,25.052332,1,0
710,35632.0,118.138894,24.504489,118.051607,25.228739,1,0
711,35676.0,118.210622,25.043036,118.180211,24.472684,1,1
712,35718.0,118.193962,25.058875,118.126401,24.471986,1,1
715,35770.0,118.082394,24.460618,118.204549,25.049552,1,0
717,35841.0,118.179465,25.048274,118.165543,24.512795,1,1
718,35844.0,118.096197,24.442482,118.109577,25.020999,1,0
720,35995.0,118.212133,25.04136,118.153926,24.435,1,1
721,36000.0,117.952345,25.017034,118.054481,24.622523,1,1
755,36000.0,117.95312,25.016735,118.142244,24.53721,3,1
734,36000.0,118.148875,24.486955,118.185638,25.047627,1,0
726,36000.0,118.102607,24.467364,118.101198,25.014968,1,0
741,36000.0,118.056778,24.581027,118.005665,25.002469,1,0
745,36000.0,118.119615,24.505266,118.004545,25.004983,1,0
760,36000.0,118.174621,25.07291,118.119485,24.467361,1,1
737,36000.0,118.0366,25.228704,118.079167,24.600361,1,1
759,36000.0,118.241924,25.077924,118.136128,24.531814,1,1
747,36000.0,118.180908,24.501836,118.17696,25.061743,1,0
724,36000.0,118.102789,24.465412,118.101198,25.014968,1,0
729,36000.0,118.191167,25.05553,118.130311,24.422636,3,1
731,36000.0,118.086403,24.45339,118.1962,25.03829,1,0
742,36000.0,118.201624,25.067347,118.077846,24.604399,1,1
740,36000.0,117.948758,25.017785,118.136816,24.531395,1,1
730,36000.0,118.16667,24.513828,118.177851,25.057389,1,0
739,36000.0,118.094805,24.624988,118.027994,25.198088,1,0
733,36000.0,118.026807,25.216018,118.156972,24.508188,1,1
723,36000.0,118.150422,24.528024,118.198149,25.060847,1,0
736,36000.0,118.180162,24.4676,118.007456,25.009528,1,0
727,36000.0,118.182563,24.501883,118.202208,25.038912,1,0
767,36036.0,118.215097,25.045184,118.183791,24.464283,1,1
768,36108.0,118.102677,25.011161,118.089743,24.581662,1,1
769,36125.0,117.94758,25.021695,118.122607,24.495519,1,1
770,36186.0,118.215317,25.045302,118.183791,24.464283,1,1
782,36494.0,118.193142,25.054431,118.149778,24.505034,2,1
783,36523.0,118.215317,25.045302,118.183486,24.464427,1,1
793,36600.0,118.241732,25.074743,118.130311,24.422636,1,1
796,36600.0,118.193326,25.034451,118.125858,24.47328,3,1
812,36990.0,118.193997,25.04568,118.064882,24.567782,2,1
814,37057.0,117.954155,25.017834,118.12745,24.49685,2,1
829,37275.0,118.178567,25.060153,118.102338,24.468496,1,1
833,37397.0,118.213375,25.051253,118.18597,24.484236,1,1
834,37398.0,118.195614,25.044688,118.096657,24.478962,1,1
835,37474.0,118.101772,24.505936,118.100104,24.942007,1,0
836,37487.0,118.080432,24.632621,118.159962,25.056085,1,0
837,37491.0,118.126369,24.507423,118.189101,25.051324,1,0
839,37588.0,118.058597,25.015608,118.172659,24.467945,3,1
840,37705.0,118.149772,24.433029,118.202207,25.038912,1,0
842,37785.0,118.17093,25.057357,118.079015,24.633511,2,1
853,37800.0,118.241792,25.074277,118.131338,24.42306,3,1
867,37800.0,118.239857,25.077205,118.136128,24.531814,1,1
843,37800.0,118.194691,25.055384,118.086924,24.490677,1,1
868,37800.0,118.196349,25.057726,118.145555,24.504753,1,1
856,37800.0,118.206233,25.062172,118.152735,24.541456,1,1
862,37800.0,118.206291,25.059697,118.18089,24.467926,1,1
850,37800.0,118.079019,24.633511,118.159962,25.056085,1,0
864,37800.0,118.086706,24.604186,118.205544,25.05428,1,0
857,37800.0,118.120034,24.469628,118.192482,25.039915,1,0
865,37800.0,118.180162,24.4676,118.007456,25.009528,2,0
847,37800.0,118.08546,24.446721,118.204523,25.036468,2,0
849,37800.0,118.127125,24.478724,118.205006,25.061768,1,0
851,37800.0,118.178192,25.057313,118.089291,24.605464,3,1
858,37800.0,118.17803,25.05663,118.089291,24.605464,3,1
860,37800.0,118.14175,24.475397,118.196623,25.061853,1,0
855,37800.0,118.241541,25.074081,118.110666,24.464065,2,1
863,37800.0,118.07812,25.017016,118.112937,24.461694,1,1
848,37800.0,118.120034,24.469628,118.192482,25.039915,1,0
870,37848.0,118.061864,24.55722,118.046954,25.229907,2,0
874,37887.0,118.140934,24.495677,118.173808,25.058218,1,0
878,38129.0,118.116646,24.466707,118.189034,25.054633,1,0
879,38182.0,118.193942,25.050784,118.136558,24.488431,2,1
882,38379.0,118.132026,24.493876,118.194819,25.05471,1,0
887,38400.0,118.241585,25.07455,118.136128,24.531814,1,1
893,38553.0,118.179318,25.067676,118.149772,24.433029,1,1
895,38646.0,118.174917,25.062898,118.06067,24.598607,1,1
896,38693.0,118.149123,24.50031,118.194455,25.040962,1,0
898,38798.0,118.163015,25.072507,118.182574,24.501265,1,1
900,38947.0,118.072373,24.639388,118.125401,25.16553,1,0
902,39017.0,118.043991,25.220197,118.096862,24.462423,1,1
903,39058.0,118.085193,24.485721,118.096248,25.017788,1,0
904,39069.0,118.188954,25.055749,118.094946,24.460272,1,1
907,39204.0,118.060538,25.013711,118.145832,24.513849,1,1
909,39232.0,118.102307,24.506373,118.199113,25.049595,1,0
910,39327.0,118.216571,25.054656,118.164295,24.511931,1,1
914,39429.0,118.160821,25.057182,118.094342,24.592354,1,1
915,39477.0,118.145728,24.497794,118.178373,25.063676,2,0
916,39506.0,118.116784,24.486008,118.201934,25.065624,1,0
917,39520.0,118.205506,25.067383,118.1304,24.491797,1,1
918,39588.0,118.17893,25.057058,118.084695,24.60279,2,1
923,39600.0,118.164412,24.505296,118.118083,25.00935,1,0
924,39600.0,118.194375,25.059221,118.133467,24.508462,2,1
922,39600.0,118.1146,24.468217,118.190213,25.051903,1,0
926,39600.0,118.204798,25.07148,118.123059,24.469542,3,1
921,39600.0,118.206291,25.059697,118.18089,24.467926,1,1
925,39600.0,118.147248,24.478529,118.179696,25.055146,1,0
927,39801.0,118.191616,25.040239,118.143249,24.526868,1,1
929,39874.0,118.101399,24.45607,118.203001,25.065577,1,0
931,39888.0,118.196584,25.060021,118.168143,24.53416,3,1
934,40084.0,118.140508,24.606882,118.191612,25.040772,1,0
935,40086.0,118.140452,24.606904,118.178166,25.057423,1,0
938,40200.0,118.24148,25.073728,118.110666,24.464065,2,1
937,40200.0,118.102307,24.506373,118.199113,25.049595,1,0
939,40200.0,118.212415,25.064096,118.115663,24.469199,1,1
943,40269.0,118.177138,24.483397,118.045219,25.221812,1,0
944,40292.0,118.116635,24.491035,117.954153,25.017832,2,0
945,40354.0,118.196805,25.036648,118.185985,24.470623,1,1
946,40443.0,118.144041,24.49014,118.004555,24.99909,1,0
947,40458.0,118.189472,25.040794,118.107659,24.565123,1,1
950,40669.0,118.151024,24.487572,118.048315,25.227452,1,0
952,40683.0,118.090706,24.44182,118.199147,25.036291,2,0
953,40706.0,118.126058,25.169371,118.129442,24.46163,1,1
954,40708.0,118.092459,24.447912,118.186705,25.050261,1,0
955,40712.0,118.075133,24.64045,118.007456,25.009528,1,0
956,40730.0,118.134353,24.489981,118.068577,25.23415,1,0
957,40763.0,118.147775,24.526739,118.190419,25.049969,1,0
962,40800.0,118.179224,25.055884,118.176946,24.47769,2,1
959,40800.0,118.21048,25.042987,118.118982,24.50305,1,1
961,40800.0,118.010557,25.013422,118.054322,24.622629,1,1
960,40800.0,118.167538,24.460545,118.100032,25.016692,1,0
964,40852.0,118.114914,24.522364,118.191753,25.056609,1,0
965,40852.0,118.180983,24.470677,118.188581,25.05628,1,0
966,40866.0,118.178713,25.070002,118.122954,24.469287,1,1
969,40905.0,118.101772,24.505936,118.100104,24.942007,1,0
970,40921.0,118.17851,25.058545,118.145728,24.497794,1,1
971,41083.0,118.099949,24.942432,118.155433,24.492709,1,1
972,41125.0,118.103285,24.468708,118.237458,25.045413,2,0
985,41400.0,118.079729,24.632559,118.230341,25.069052,1,0
984,41400.0,118.199856,25.062726,118.079019,24.633511,1,1
983,41400.0,118.195461,25.059778,118.129229,24.480059,1,1
982,41400.0,118.121277,24.486664,118.194635,25.045966,1,0
986,41400.0,118.184329,25.064568,118.080319,24.633065,1,1
976,41400.0,118.212508,25.04524,118.07902,24.633511,1,1
979,41400.0,118.082135,24.482268,118.199528,25.063043,1,0
981,41400.0,118.195461,25.059778,118.129229,24.480059,1,1
980,41400.0,118.092402,24.474687,118.049471,25.223883,1,0
990,41589.0,118.131398,24.492681,118.164854,25.064085,1,0
994,41808.0,118.117331,24.457497,118.039977,25.230408,1,0
995,41999.0,118.089599,24.463333,118.203509,25.068618,1,0
